Subject,CourseCode,Class Nbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Inst Last Nm
CSE,100,17628,Prin of Programming with C++,F,12:55 PM,1:45 PM,TEMPE,25,COORL1-38,Feng
CSE,100,16392,Prin of Programming with C++,M,12:55 PM,1:45 PM,TEMPE,25,COORL1-38,Feng
CSE,100,22206,Prin of Programming with C++,M,2:00 PM,2:50 PM,TEMPE,30,COORL1-50,Staff
CSE,100,11229,Prin of Programming with C++,M,11:50 AM,12:40 PM,TEMPE,30,COORL1-38,Staff
CSE,100,11265,Prin of Programming with C++,T,10:30 AM,11:20 AM,TEMPE,30,COORL1-38,Staff
CSE,110,29097,Prin of Programming with C++,F,8:35 AM,9:25 AM,TEMPE,35,COORL1-38,miller
CSE,110,29096,Prin of Programming with C++,W,8:35 AM,9:25 AM,TEMPE,35,COORL1-38,miller
CSE,110,11321,Prin of Programming with C++,T,4:30 PM,5:20 PM,TEMPE,35,COORL1-38,Staff
CSE,110,29092,Prin of Programming with C++,M,10:45 AM,11:35 AM,TEMPE,35,COORL1-38,miller
CSE,110,29109,Principles of Programming,T,1:00 PM,3:30 PM,TEMPE,69,BYENG209,Miller
CSE,110,11335,Principles of Programming,Th,4:30 PM,5:20 PM,TEMPE,35,COORL1-38,Staff
CSE,110,29104,Principles of Programming,Th,9:00 AM,9:50 AM,TEMPE,35,COORL1-50,faye
CSE,110,29099,Principles of Programming,TTh,12:00 PM,1:15 PM,TEMPE,245,COOR170,faye
CSE,110,29106,Principles of Programming,Th,4:30 PM,5:20 PM,TEMPE,35,COORL1-50,faye
CSE,110,16393,Principles of Programming,MWF,3:05 PM,3:55 PM,TEMPE,245,MUR101,miller
